,tconst,primaryTitle,startYear,Metascore,imdbRating,imdbVotes,Title
53032,tt6448124,Love Me Love My Dog,2015,N/A,N/A,N/A,Love Me Love My Dog
53034,tt6448136,Haikyu! Owari to Hajimari Part 1,2015,N/A,N/A,N/A,Haikyu! Owari to Hajimari Part 1
53035,tt6448148,Nemci Ven! Deutsche Raus!,2015,N/A,N/A,N/A,Nemci Ven! Deutsche Raus!
53042,tt6448186,The Barber,2015,N/A,N/A,N/A,The Barber
53045,tt6448196,Kirmizi,2015,N/A,N/A,N/A,Kirmizi
53046,tt6448202,We'll Never Have Paris,2015,N/A,N/A,N/A,We'll Never Have Paris
53047,tt6448204,Morning Star,2015,N/A,N/A,N/A,Morning Star
53051,tt6448220,Mes séances de lutte,2015,N/A,N/A,N/A,Mes séances de lutte
53055,tt6448248,No estamos solos,2015,N/A,N/A,N/A,No estamos solos
53060,tt6448290,Biet Doi Tu Than,2015,N/A,N/A,N/A,Biet Doi Tu Than
53061,tt6448294,Reunion,2015,N/A,N/A,N/A,Reunion
53064,tt6448314,Como en el cine,2015,N/A,N/A,N/A,Como en el cine
53068,tt6448354,Hatched: Chicks Gone Wild,2015,N/A,N/A,N/A,Hatched: Chicks Gone Wild
53069,tt6448364,Apocalypse,2015,N/A,N/A,N/A,Apocalypse
53071,tt6448372,Arbaa Kotchina,2015,N/A,N/A,N/A,Arbaa Kotchina
53076,tt6448396,Algeil Ar Rabea,2015,N/A,N/A,N/A,Algeil Ar Rabea
53078,tt6448402,Soreike! Anpanman Mija To Maho No Lamp,2015,N/A,N/A,N/A,Soreike! Anpanman Mija To Maho No Lamp
53079,tt6448408,Admisson by Guts,2015,N/A,N/A,N/A,Admisson by Guts
53080,tt6448414,Macho Peruano Que Se Respeta,2015,N/A,3.9,15,Macho Peruano Que Se Respeta
53081,tt6448426,Phee Chai,2015,N/A,N/A,N/A,Phee Chai
53082,tt6448430,Sneeukoningin,2015,N/A,N/A,N/A,Sneeukoningin
53086,tt6448462,Paso a paso,2015,N/A,N/A,N/A,Paso a paso
53092,tt6448512,La Espara,2015,N/A,N/A,N/A,La Espara
53094,tt6448522,Never Trust a Stranger,2015,N/A,4.0,12,Con Ma Nha Ho Vuong
